longitude,latitude,start_date,end_date,label,cube,time_series
-55.002311656177504,-3.3692352211849417,2001-01-01,2023-01-01,coracao-de-negro,NA,NA
-55.00267791622345,-3.369478730470216,2001-01-01,2023-01-01,piquiarana,NA,NA
-55.00232087643339,-3.3692441385847305,2001-01-01,2023-01-01,breu branco,NA,NA
-55.00270472034317,-3.3694532013483807,2001-01-01,2023-01-01,goiabao,NA,NA
-55.00229451747892,-3.3692715644889013,2001-01-01,2023-01-01,pintadinho,NA,NA
-55.00267819805295,-3.369459036844699,2001-01-01,2023-01-01,abiurana branca,NA,NA
-55.0023396358587,-3.3692800067400692,2001-01-01,2023-01-01,cucutitiriba,NA,NA
-55.00263434714472,-3.3694392064389738,2001-01-01,2023-01-01,louro preto,NA,NA
-55.002357425464325,-3.3692707524871577,2001-01-01,2023-01-01,abiurana vermelha,NA,NA
-55.00262545498876,-3.3694465283524377,2001-01-01,2023-01-01,morta,NA,NA
-55.002331234181476,-3.369307196928315,2001-01-01,2023-01-01,abiurana vermelha,NA,NA
-55.002634538597704,-3.3694194923754517,2001-01-01,2023-01-01,angelim rajado,NA,NA
-55.00234949394082,-3.3693249908515726,2001-01-01,2023-01-01,jarana,NA,NA
-55.0026524191879,-3.369403074197436,2001-01-01,2023-01-01,abiurana branca,NA,NA
-55.00238581627556,-3.3693605341048762,2001-01-01,2023-01-01,capueiro,NA,NA
-55.00263474745521,-3.36939798612432,2001-01-01,2023-01-01,capueiro,NA,NA
-55.00235054927085,-3.369379113215392,2001-01-01,2023-01-01,jatereu,NA,NA
-55.00263488669339,-3.3693836486235007,2001-01-01,2023-01-01,tachi vermelho,NA,NA
-55.00232308233628,-3.3693434242325484,2001-01-01,2023-01-01,melancieira,NA,NA
-55.00268807156239,-3.3693890725322135,2001-01-01,2023-01-01,marassacaca,NA,NA
-55.002369123077834,-3.3694239200121268,2001-01-01,2023-01-01,quinarana,NA,NA
-55.00271472664942,-3.369386859313954,2001-01-01,2023-01-01,mamorana,NA,NA
-55.002307409763645,-3.369433982800686,2001-01-01,2023-01-01,purui,NA,NA
-55.00269737946754,-3.369362087278005,2001-01-01,2023-01-01,inga,NA,NA
-55.00230806066719,-3.3694610718527165,2001-01-01,2023-01-01,muiratinga,NA,NA
-55.002644471515424,-3.3693172112744456,2001-01-01,2023-01-01,pau-de-remo,NA,NA
-55.002360946582066,-3.3694601417427106,2001-01-01,2023-01-01,envira preta,NA,NA
-55.002617253661334,-3.3693677925605368,2001-01-01,2023-01-01,caqui,NA,NA
-55.002326090376776,-3.3694788137523544,2001-01-01,2023-01-01,jutai-pororoca,NA,NA
-55.00262604604865,-3.369379307382614,2001-01-01,2023-01-01,breu,NA,NA
-55.00232629091245,-3.3694878397203465,2001-01-01,2023-01-01,acariquara,NA,NA
-55.00260918217927,-3.3692495714147004,2001-01-01,2023-01-01,axixa,NA,NA
-55.002291599027565,-3.3695065488887375,2001-01-01,2023-01-01,envira-cana,NA,NA
-55.002609238316815,-3.369241501553964,2001-01-01,2023-01-01,gombeira,NA,NA
-55.002336234500646,-3.3695418237879378,2001-01-01,2023-01-01,capueiro,NA,NA
-55.002591221545345,-3.369240825760383,2001-01-01,2023-01-01,angelim rajado,NA,NA
-55.002336426819994,-3.3695508478979157,2001-01-01,2023-01-01,joao-mole,NA,NA
-55.002537172636416,-3.3692953765873197,2001-01-01,2023-01-01,tachi preto,NA,NA
-55.00231979750671,-3.369587306398569,2001-01-01,2023-01-01,fava-arara-tucupi,NA,NA
-55.00251922843548,-3.3692866346476493,2001-01-01,2023-01-01,louro preto,NA,NA
-55.00231131517879,-3.3695965171127202,2001-01-01,2023-01-01,canela-de-jacamim,NA,NA
-55.002510118007265,-3.369241819615701,2001-01-01,2023-01-01,matamata preto,NA,NA
-55.00230329964888,-3.3696237946268877,2001-01-01,2023-01-01,muiratinga,NA,NA
-55.00253714246042,-3.369214544203436,2001-01-01,2023-01-01,murta,NA,NA
-55.002509978001875,-3.369196884865764,2001-01-01,2023-01-01,acariquara,NA,NA
-55.00257334609108,-3.369196176897692,2001-01-01,2023-01-01,morta,NA,NA
-55.00259112965919,-3.3692587662164457,2001-01-01,2023-01-01,cacau,NA,NA
-55.00263611372433,-3.369257299397748,2001-01-01,2023-01-01,breu,NA,NA
-55.002636017998874,-3.3692671564296197,2001-01-01,2023-01-01,pitomba,NA,NA
-55.00264490961638,-3.369275999506432,2001-01-01,2023-01-01,inhare,NA,NA
-55.00268108038603,-3.369257624764655,2001-01-01,2023-01-01,abiurana,NA,NA
-55.00265415724054,-3.369252592867899,2001-01-01,2023-01-01,araracanga,NA,NA
-55.002681426264274,-3.3692334553149794,2001-01-01,2023-01-01,timborana,NA,NA
-55.00270858495852,-3.369226865675721,2001-01-01,2023-01-01,abiurana,NA,NA
-55.002699634218544,-3.3692224995382882,2001-01-01,2023-01-01,capueiro,NA,NA
-55.002699778753446,-3.3692135516062733,2001-01-01,2023-01-01,papo-de-mutum,NA,NA
-55.00266364859525,-3.3692130762355212,2001-01-01,2023-01-01,cacau,NA,NA
-55.002617888984894,-3.3692871106745885,2001-01-01,2023-01-01,cacau,NA,NA
-55.00255689685577,-3.3692906204752062,2001-01-01,2023-01-01,tachi vermelho,NA,NA
-55.002594624306056,-3.369277556476541,2001-01-01,2023-01-01,araça da mata,NA,NA
-55.002638141999775,-3.3695000586614885,2001-01-01,2023-01-01,acariquarana,NA,NA
-55.00235194841815,-3.3678093268108604,2001-01-01,2023-01-01,pau-de-bicho,NA,NA
-55.002360461058906,-3.3677991767394695,2001-01-01,2023-01-01,envira preta,NA,NA
-55.002343127980346,-3.3677917008020706,2001-01-01,2023-01-01,louro preto,NA,NA
-55.00236898032362,-3.3677890773207393,2001-01-01,2023-01-01,papo-de-mutum,NA,NA
-55.00226597479681,-3.367828081786922,2001-01-01,2023-01-01,abiurana casca fina,NA,NA
-55.0022570914316,-3.367809974575636,2001-01-01,2023-01-01,piquiarana,NA,NA
-55.00222187901517,-3.3677654231155225,2001-01-01,2023-01-01,capueiro,NA,NA
-55.00228280584706,-3.367797822255293,2001-01-01,2023-01-01,quinarana,NA,NA
-55.002299919375076,-3.3677866710594393,2001-01-01,2023-01-01,louro preto,NA,NA
-55.00229092457809,-3.3677592376181344,2001-01-01,2023-01-01,louro preto,NA,NA
-55.00224762986184,-3.3677535493865913,2001-01-01,2023-01-01,morta,NA,NA
-55.002134650588935,-3.3677237379239195,2001-01-01,2023-01-01,morta,NA,NA
-55.0022384176493,-3.367715979269596,2001-01-01,2023-01-01,acariquara,NA,NA
-55.002272612759896,-3.3676849584823545,2001-01-01,2023-01-01,castanha,NA,NA
-55.002584452741125,-3.36779291426204,2001-01-01,2023-01-01,morta,NA,NA
-55.002316013460664,-3.3676914571571905,2001-01-01,2023-01-01,morta,NA,NA
-55.002567211543074,-3.367782751284687,2001-01-01,2023-01-01,tachi preto,NA,NA
-55.002385773983065,-3.367741583604578,2001-01-01,2023-01-01,espeturana,NA,NA
-55.00247255508065,-3.3678052704329287,2001-01-01,2023-01-01,muiratinga,NA,NA
